time_min,stage,kind,detail
7594.74,outbound,arrive,truck=71;load_kind=scr
7615.00,melting,elevator_done,furnace=1;trips=16
7622.46,outbound,arrive,truck=72;load_kind=scr
7625.00,press,pallet_done,pallet=164;buffer=0
7654.39,outbound,depart,truck=68;load_kind=scr;ton=8.0
7660.85,outbound,depart,truck=69;load_kind=scr;ton=8.0
7667.50,press,pallet_done,pallet=165;buffer=0
7671.97,outbound,arrive,truck=73;load_kind=flake
7710.00,press,pallet_done,pallet=166;buffer=0
7735.00,melting,melt_start,furnace=1
7741.72,outbound,arrive,truck=74;load_kind=scr
7752.50,press,pallet_done,pallet=167;buffer=0
7761.94,outbound,arrive,truck=75;load_kind=scr
7787.90,outbound,depart,truck=70;load_kind=flake;ton=2.0
7795.00,press,pallet_done,pallet=168;buffer=0
7800.00,inbound,arrive,truck=51
7805.00,inbound,weigh_in,truck=51
7825.00,inbound,unloaded,truck=51
7830.00,inbound,depart,truck=51
7837.50,press,pallet_done,pallet=169;buffer=0
7844.74,outbound,depart,truck=71;load_kind=scr;ton=0.0
7855.00,sorting,sort_done,truck=51
7860.00,inbound,arrive,truck=52
7865.00,inbound,weigh_in,truck=52
7872.46,outbound,depart,truck=72;load_kind=scr;ton=0.0
7880.00,press,pallet_done,pallet=170;buffer=0
